"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000889","정신여자중학교","03","사립","Y","코로나19 발생으로 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000890","천일중학교","03","공립","Y","2020학년도 미측정","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000891","천호중학교","03","공립","Y","감염병으로 인한 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000892","풍납중학교","03","공립","N","","1학년","남자","55.8","0.00","","8.7","","","","28.4","8.5","","20.9","","7","10.3","25","36.8","32","47.1","4","5.9","0","0","68"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000892","풍납중학교","03","공립","N","","1학년","여자","38.7","0.00","","17","","","","24.5","9.5","","19.9","","7","15.9","28","63.6","8","18.2","1","2.3","0","0","44"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000892","풍납중학교","03","공립","N","","2학년","남자","54.5","0.00","","11.1","","","","33.8","8.6","","21.9","","10","11.2","26","29.2","47","52.8","3","3.4","3","3.4","89"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000892","풍납중학교","03","공립","N","","2학년","여자","40.9","0.00","","19","","","","26.2","9.6","","20.5","","8","19.5","22","53.7","10","24.4","1","2.4","0","0","41"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000892","풍납중학교","03","공립","N","","3학년","남자","65.7","0.00","","13.7","","","","38.8","7.8","","22.3","","11","12.2","50","55.6","28","31.1","1","1.1","0","0","90"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000892","풍납중학교","03","공립","N","","3학년","여자","43.7","0.00","","21.5","","","","27.4","9.7","","21.4","","9","22","24","58.5","7","17.1","1","2.4","0","0","41"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000893","풍성중학교","03","공립","Y","코로나19로 인한 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000895","한산중학교","03","공립","Y","2020년 코로나-19로 인해 1학년 PAPS  미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000896","한영중학교","03","사립","Y","2020년도 학생체력건강평가(PAPS) 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010000967","강신중학교","03","공립","Y","코로나19로 인해 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010000968","경서중학교","03","공립","Y","코로나19로 학생체력평가 미실시함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010000970","공항중학교","03","공립","Y","감염병 상황 등을 고려하여 2020학년도 학생건강 체력평가 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010000971","금옥중학교","03","공립","Y","코로나-19로 인한 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
